Entity,Code,Year,exp,GDP,,,,totexp
Afghanistan,AFG,2010,3.479449987,504,,3.48,,1753.92
Afghanistan,AFG,2015,3.255800009,544,,3.26,,1773.44
Albania,ALB,1995,3.814640045,769,,3.82,,2937.58
Albania,ALB,2005,3.281549931,"2,609",,3.29,,8583.61
Albania,ALB,2015,3.437969923,"3,939",,3.44,,13550.16
Andorra,AND,2005,1.644970059,"40,065",,1.65,,66107.25
Andorra,AND,2010,2.976629972,"40,812",,2.98,,121619.76
Andorra,AND,2015,3.28034997,"35,748",,3.29,,117610.92
Angola,AGO,2005,2.120110035,"1,902",,2.13,,4051.26
Angola,AGO,2010,3.421319962,"3,588",,3.43,,12306.84
Angola,AGO,2015,3.486900091,"4,167",,3.49,,14542.83
Antigua and Barbuda,ATG,2020,3.321619987,"13,993",,3.33,,46596.69
Argentina,ARG,2005,3.860009909,"5,158",,3.87,,19961.46
Argentina,ARG,2010,5.019710064,"10,429",,5.02,,52353.58
Argentina,ARG,2015,5.776110172,"14,971",,5.78,,86532.38
Armenia,ARM,2005,2.712029934,"1,753",,2.72,,4768.16
Armenia,ARM,2010,3.249000072,"3,432",,3.25,,11154
Armenia,ARM,2015,2.80591011,"3,607",,2.81,,10135.67
Armenia,ARM,2020,2.704760075,"4,266",,2.71,,11560.86
Aruba,ABW,2005,4.68132019,"23,593",,4.69,,110651.17
Aruba,ABW,2010,6.929269791,"24,133",,6.93,,167241.69
Aruba,ABW,2015,5.888269901,"28,396",,5.89,,167252.44
Australia,AUS,1995,5.143909931,"21,736",,5.15,,111940.4
Australia,AUS,2005,4.910299778,"37,710",,4.92,,185533.2
Australia,AUS,2010,5.550059795,"58,654",,5.56,,326116.24
Australia,AUS,2015,5.311270237,"52,131",,5.32,,277336.92
Austria,AUT,1995,5.428349972,"30,169",,5.43,,163817.67
Austria,AUT,2005,5.249370098,"38,282",,5.25,,200980.5
Austria,AUT,2010,5.700479984,"46,599",,5.71,,266080.29
Austria,AUT,2015,5.456580162,"43,995",,5.46,,240212.7
Azerbaijan,AZE,1995,3.337369919,396,,3.34,,1322.64
Azerbaijan,AZE,2005,2.974620104,"1,551",,2.98,,4621.98
Azerbaijan,AZE,2010,2.780620098,"5,857",,2.79,,16341.03
Azerbaijan,AZE,2015,2.951679945,"5,516",,2.96,,16327.36
Bahamas,BHS,2015,2.288320065,"31,776",,2.29,,72767.04
